

Dataset: test_peaks.txt

Pre-alignment:

Start ppm error: 2.50000000

Error StdDev distribution along mass:

MassMedian,LowError,HighError,ErrorMean,ErrorStdDev,Count
211.28438500,-0.596853508175629,0.629973085188586,0.00553386,0.22211184,689
302.17219450,-0.802383742067561,0.697732752139823,-0.04804359,0.25734034,687
334.14867900,-0.600114028187673,0.693461259457589,0.04532370,0.23096328,709
357.12266050,-0.564193164036602,0.69483846564097,0.07139718,0.21306299,700
375.59568050,-0.602521669457293,0.669294109350106,0.04086112,0.22330609,697
391.61539600,-0.616885244759662,0.60562687595154,-0.00941732,0.20934828,711
407.13086000,-0.471934888333639,0.55291249457016,0.05100306,0.18787246,709
422.60547700,-0.465421040647932,0.513439242921727,0.02875333,0.17520913,715
437.59913950,-0.529154049562562,0.471270458879051,-0.02872434,0.17828789,715
452.13502650,-0.57832142007188,0.606919810330727,0.01775771,0.19626270,736
466.66541550,-0.653472979072361,0.625420465393179,-0.01079946,0.22227482,740
481.63283700,-0.604459159431499,0.618037951105837,0.00763026,0.22711408,737
496.12987000,-0.694665353482696,0.611270315904523,-0.03961107,0.22411433,730
510.16097800,-0.636072101692649,0.615785069395939,-0.00786954,0.22090553,722
524.15850000,-0.778524495014223,0.619896528717272,-0.07979741,0.24264829,732
538.12615550,-0.701254770521845,0.736523222595795,0.01715401,0.26732476,730
551.66312400,-0.585669525805773,0.738105938926473,0.07515494,0.24790185,713
565.21298900,-0.992248660859287,0.833702854438631,-0.07152746,0.31408249,728
579.18530900,-0.933101361838176,0.86539874697536,-0.01162514,0.30918949,699
593.16456500,-0.983133494685576,0.938757296695969,-0.03788355,0.32753574,681
607.69040600,-1.02406809861272,1.00452230560342,-0.01646727,0.36037323,726
623.20574550,-1.22657888006186,1.005646542317,-0.11566732,0.39196863,728
639.21459050,-1.10470276844306,1.19156067876728,0.04441588,0.40873482,724
656.23977750,-1.64733523094602,1.61258382674729,-0.02294579,0.54022919,727
674.22819100,-1.17506052984754,1.19621753551304,0.00909023,0.44094285,714
693.24005950,-1.58523340880739,1.49645655215325,-0.06347550,0.52288312,718
718.26583150,-1.70492241354107,1.64862741137234,-0.02482658,0.59402509,741
746.81734300,-1.60714959421709,1.70991678363106,0.05458437,0.61535767,734
777.77936250,-2.14371194397557,2.09912348766618,-0.02492833,0.76257341,743
811.76494550,-2.2390847551421,2.29745073457728,0.05554371,0.78039574,743
850.81771650,-2.42661567694478,2.39765938643808,-0.02121325,0.86626395,738
896.31084750,-3.68761168495834,3.83730301154312,0.02069202,1.39342425,738
945.32139000,-4.65320788578298,4.59062001588262,-0.00110975,1.57264268,752
1052.87510950,-6.95639777640189,7.01577670931936,0.03555068,2.21380626,754
Calibration: calibrant peaks total 76 matched 48(47 distinct)
match_min_m=221.08198352663
match_max_m=621.2553104977
match_avg_err=0.137696916596498
match_med_err=0.095664264973459
match_std_err=0.779564877564206
linear_calibration=calibration iteration successful; original reference point count 48 removed points 4
linear_calibration=y = 0.111075748457423 + -9.39854890925787E-05 * x (relative error calibration - 1.0E-6)
linear_calibration_R^2=0.00432019378023785
id	exp_ind	exp_val	the_val	err_ppm_exp	res_val	err_ppm_cal
C18H36O2	611	283.2643494	283.2642539	0.337	283.2643255	0.253
dataset	count	min	max	med.err.BC	avg.err.BC	std.err.BC	med.err.AC	avg.err.AC	std.err.AC
	44	221.081933	621.255268	0.095664264973459	0.0741542789893948	0.160358230904671	0.0291957213914809	-5.60860143050679E-09	0.160011466661228
quadratic_calibration=calibration iteration successful; original reference point count 48 removed points 4
quadratic_calibration=y = 0.478896617494674 + -0.00201635925275884 * x + 2.32492805830198E-06 * x^2 (relative error calibration - 1.0E-6)
quadratic_calibration_R^2=0.0320714991892019
id	exp_ind	exp_val	the_val	err_ppm_exp	res_val	err_ppm_cal
C19H24O9	1877	395.1345978	395.1347559	-0.400	395.1345800	-0.445
C16H26O3S	714	297.1528829	297.1529889	-0.357	297.1528576	-0.442
C19H32O3S	1124	339.1998217	339.1999391	-0.346	339.1998005	-0.409
C18H30O3S	966	325.1842073	325.1842891	-0.252	325.1841849	-0.321
C21H26O10	2551	437.1452662	437.1453206	-0.124	437.1452480	-0.166
C13H20O3S	453	255.1060107	255.1060387	-0.110	255.1059812	-0.226
C15H24O3S	608	283.1373276	283.1373389	-0.040	283.1373009	-0.134
C21H36O3S	1474	367.2312258	367.2312392	-0.036	367.2312067	-0.088
C28H35O13-	4834	579.2083483	579.2083180	0.052	579.2082956	-0.039
C31H41O13-	5484	621.2553105	621.2552680	0.068	621.2552337	-0.055
C30H39O13-	5295	607.2396604	607.2396180	0.070	607.2395926	-0.042
C27H33O13-	4613	565.1927102	565.1926680	0.075	565.1926639	-0.007
C26H31O13-	4383	551.1770602	551.1770180	0.077	551.1770195	0.003
C25H29O13-	4157	537.1614101	537.1613680	0.078	537.1613743	0.012
C24H27O13-	3930	523.1457600	523.1457180	0.080	523.1457285	0.020
C23H25O13-	3682	509.1301100	509.1300680	0.082	509.1300820	0.028
C27H26O12	4218	541.1351954	541.1351498	0.084	541.1351583	0.016
C22H23O13-	3456	495.1144599	495.1144180	0.085	495.1144349	0.034
C21H21O13-	3228	481.0988099	481.0987680	0.087	481.0987873	0.040
C20H19O13-	3007	467.0831598	467.0831180	0.089	467.0831391	0.045
C21H24O14	3517	499.1093745	499.1093290	0.091	499.1093488	0.040
C19H17O13-	2798	453.0675097	453.0674680	0.092	453.0674904	0.050
C25H32O8	2920	459.2024871	459.2024415	0.099	459.2024672	0.056
C23H29O6-	1999	401.1970078	401.1969630	0.112	401.1969900	0.067
C22H27O6-	1767	387.1813577	387.1813130	0.115	387.1813396	0.069
C21H25O6-	1567	373.1657076	373.1656630	0.120	373.1656889	0.069
C20H23O6-	1382	359.1500576	359.1500130	0.124	359.1500380	0.069
C14H22O3S	526	269.1217223	269.1216888	0.125	269.1216942	0.020
C19H21O6-	1194	345.1344075	345.1343630	0.129	345.1343868	0.069
C16H24O8	1165	343.1398868	343.1398413	0.133	343.1398660	0.072
C20H29O4-	1057	333.2071785	333.2071330	0.137	333.2071568	0.071
C19H29O4-	931	321.2071785	321.2071330	0.142	321.2071557	0.071
C18H27O4-	794	307.1915284	307.1914830	0.148	307.1915042	0.069
C16H23O4-	584	279.1602283	279.1601830	0.162	279.1602012	0.065
C13H20O6	536	271.1187574	271.1187119	0.168	271.1187295	0.065
C20H34O3S	1298	353.2156493	353.2155892	0.170	353.2156293	0.113
C22H38O3S	1670	381.2469569	381.2468893	0.177	381.2469386	0.129
C14H17O4-	419	249.1132781	249.1132330	0.181	249.1132480	0.060
C16H32O2	456	255.2330033	255.2329538	0.194	255.2329738	0.078
C10H16O6	328	231.0874573	231.0874118	0.197	231.0874256	0.060
C12H13O4-	288	221.0819835	221.0819330	0.229	221.0819511	0.082
C17H25O4-	682	293.1759199	293.1758330	0.296	293.1758942	0.209
C18H15O13-	2568	439.0519592	439.0518180	0.322	439.0519408	0.280
C18H36O2	611	283.2643494	283.2642539	0.337	283.2643227	0.243
dataset	count	min	max	med.err.BC	avg.err.BC	std.err.BC	med.err.AC	avg.err.AC	std.err.AC
	44	221.081933	621.255268	0.095664264973459	0.0741542789893948	0.160358230904671	0.047336882337625	-6.30683131350931E-09	0.157765811388977



major peaks match 2008 minor peaks total match 1295 multi peaks mf count 0
error handler calls 0
multi peaks options calls 0


Processed files:

test_peaks.txt

Parameters:

<DefaultParameters><InputFilesTab><Adduct>H</Adduct><Ionization>proton_attachment</Ionization><Charge>1</Charge><UsePreAlignment>True</UsePreAlignment><Calibration><RefPeakFileName>F:\Documents\Projects\NikolaTolic\Formultitude\Documents\Neg_ESI_CalibrationPeaks.ref</RefPeakFileName><Regression>linear</Regression><RelFactor>1000000</RelFactor><StartTolerance>5</StartTolerance><EndTolerance>0.5</EndTolerance><PeakFilters><MinSToN>3</MinSToN><MinRelAbun>0</MinRelAbun><MaxRelAbun>1</MaxRelAbun></PeakFilters></Calibration></InputFilesTab><CiaTab><UseAlignment>True</UseAlignment><AlignmentTolerance>0.5</AlignmentTolerance><CiaDBFilename>F:\Documents\Projects\NikolaTolic\Formultitude\Distribution\CIA_DB_2016_11_21_Database\CIA_DB_2016_11_21.bin</CiaDBFilename><StaticPpmDynamicStdDevError>False</StaticPpmDynamicStdDevError><StdDevErrorGain>1</StdDevErrorGain><FormulaTolerance>0.5</FormulaTolerance><DBMassLimit>500</DBMassLimit><FormulaScore>MinNSPAndError</FormulaScore><UseKendrick>True</UseKendrick><UseC13>True</UseC13><C13Tolerance>0.5</C13Tolerance><UseFormulaFilters>True</UseFormulaFilters><ElementalCounts>True</ElementalCounts><ValenceRules>True</ValenceRules><ElementalRatios>True</ElementalRatios><HeteroatomCounts>True</HeteroatomCounts><PositiveAtoms>True</PositiveAtoms><IntegerDBE>False</IntegerDBE><SpecialFilter>None</SpecialFilter><UserDefinedFilter></UserDefinedFilter><UseRelation>True</UseRelation><MaxRelationGaps>5</MaxRelationGaps><UseBackward>False</UseBackward><RelationErrorType>AMU</RelationErrorType><RelationError>2E-05</RelationError><FormulaBuildingBlocks><CH2>True</CH2><CH4O-1>False</CH4O-1><H2>True</H2><C2H4O>False</C2H4O><CO2>False</CO2><C2H2O>False</C2H2O><O>True</O><HN>False</HN><CH2O>False</CH2O></FormulaBuildingBlocks><Output><GenerateReports>False</GenerateReports><Error>Signed</Error></Output></CiaTab><IpaTab><IpaDBFilename>F:\Documents\Projects\NikolaTolic\Formultitude\Documents\IPA_DB_MTW_Cl_8_3.txt</IpaDBFilename><MassTol>1</MassTol><MajorPeaksMinSToN>1</MajorPeaksMinSToN><MinorPeaksMinSToN>1</MinorPeaksMinSToN><MatchedPeakReport>True</MatchedPeakReport><MinPeakProbabilityToScore>0.001</MinPeakProbabilityToScore><DbFilter>r/O</DbFilter></IpaTab></DefaultParameters>

